Product name,Unit Cost,SubCategory ID,Brand,Product ID
"FOGG Deo Combo Pack (EXTREME + DYNAMIC 300ml) Body Spra...300 ml, Pack of 2",349,Subcat16,FOGG,OFF-LA-10003140
"Kamasutra Gift Deodorant Spray  -  For Men600 ml, Pack of 4",555,Subcat16,Kamasutra,OFF-AR-10004511
"BRUT Original Deodorant Spray for Men Deodorant Spray  ...400 ml, Pack of 2",341,Subcat16,BRUT,OFF-IBI-10004959
Bella vita organic CEO Body Parfum - Premium & Long Las...150 ml,224,Subcat16,Bella vita,OFF-SAN-10003285
"secret temptation Body Deodorant Pack Of 3 ( Romance ) ...450 ml, Pack of 3",448,Subcat16,secret,TEC-CO-10000847
FOGG Napoleon Fragnance Body Deodorant Spray  -  For Me...150 ml,184,Subcat16,FOGG,TEC-PH-10002923
"THE MAN COMPANY Combo For Multifaceted Man Deodorant Sp...480 ml, Pack of 4",939,Subcat16,THE MAN COMPANY,OFF-AR-10004115
"THE MAN COMPANY Body Deodorant Trio Pack for Men | Kopa...360 ml, Pack of 3",932,Subcat16,THE MAN COMPANY,OFF-BI-10003022
"FOGG Master Napoleon Intense (Pack of 2) 240ml Body Spr...240 ml, Pack of 2",338,Subcat16,FOGG,OFF-SU-10001831
"SET WET Charm Avatar Deodorant & Body Spray Perfume Deo...300 ml, Pack of 2",231,Subcat16,SET WET,OFF-BI-10000787
DENVER Hamilton Deodorant Spray  -  For Men200 ml,185,Subcat16,DENVER,OFF-AR-10000716
"PARK AVENUE ORIGINAL DEO COOL BLUE 100GM (PACK OF 2) Bo...300 ml, Pack of 2",257,Subcat16,PARK,OFF-ST-10002011
"Wild Stone bronze combo Body Spray  -  For Men240 ml, Pack of 2",287,Subcat16,Wild Stone,FUR-SAF-10001793
"DENVER Hamilton and Pride Combo Deodorant Spray  -  For...400 ml, Pack of 2",333,Subcat16,DENVER,FUR-CH-10000660
FOGG Marco Deodorant Spray  -  For Men150 ml,179,Subcat16,FOGG,TEC-SHA-10000971
